               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082606,            0.021965,            0.044047,             0.10913,            0.047745,            0.030569,           0.0082405,            0.077493,            0.026277,            0.035165,             0.07011,           0.0033211,           0.0033211
                   1,            0.057642,            0.013836,            0.016705,              0.3592,             0.28486,             0.25112,            0.076034,            0.056518,            0.022605,             0.02151,            0.039979,           0.0065227,           0.0065227
                   2,            0.053164,            0.012261,           0.0098058,             0.39722,             0.39807,             0.27766,             0.08108,            0.061204,            0.019433,            0.016564,           0.0097148,           0.0095922,           0.0095922
                   3,             0.04823,            0.012068,           0.0081662,             0.56174,             0.47801,             0.44606,             0.14428,            0.051186,            0.018837,            0.012111,            0.009406,            0.009406,            0.009406
                   4,             0.04466,            0.011451,           0.0069745,             0.61083,             0.52489,              0.4976,             0.17316,            0.048738,            0.018338,            0.010639,            0.009406,            0.009406,            0.009406
                   5,            0.042126,            0.010861,           0.0057437,             0.74324,             0.58602,             0.62239,             0.24614,            0.043441,            0.017369,            0.010136,            0.009208,            0.009208,            0.009208
                   6,            0.040462,            0.010584,           0.0050515,             0.80603,             0.63526,             0.69119,             0.27953,            0.041762,            0.016531,           0.0067895,             0.00901,             0.00901,             0.00901
                   7,            0.038938,            0.010256,           0.0045325,             0.75634,               0.637,             0.66561,             0.25565,            0.042861,            0.015579,           0.0057266,            0.008812,            0.008812,            0.008812
                   8,            0.037812,            0.010114,           0.0042067,               0.851,             0.70112,             0.76259,              0.3061,            0.037681,            0.015596,           0.0049687,            0.008614,            0.008614,            0.008614
                   9,            0.037597,           0.0099402,           0.0040141,              0.8295,             0.70719,             0.75539,              0.3024,            0.037971,             0.01561,           0.0047554,            0.008416,            0.008416,            0.008416
                  10,            0.036228,           0.0095811,           0.0036926,             0.86534,             0.71552,             0.77938,             0.34249,            0.037355,            0.015492,           0.0052159,            0.008218,            0.008218,            0.008218
                  11,            0.035722,           0.0096767,           0.0034553,              0.9184,             0.73895,             0.83374,             0.35489,            0.034555,            0.014209,           0.0035304,             0.00802,             0.00802,             0.00802
                  12,            0.034766,           0.0093919,           0.0031464,             0.90035,             0.73908,             0.82312,             0.34622,            0.036282,            0.014064,           0.0036497,            0.007822,            0.007822,            0.007822
                  13,             0.03449,           0.0093015,           0.0031242,             0.94308,             0.73967,             0.83751,             0.35752,             0.03587,            0.013662,           0.0035615,            0.007624,            0.007624,            0.007624
                  14,            0.033952,           0.0092599,            0.003093,              0.8644,             0.73811,             0.79883,             0.34603,            0.035403,            0.014449,            0.004145,            0.007426,            0.007426,            0.007426
                  15,            0.033323,            0.009231,           0.0029224,             0.91376,             0.79074,             0.85019,             0.39008,            0.034729,            0.013327,           0.0031521,            0.007228,            0.007228,            0.007228
                  16,            0.032935,           0.0089241,           0.0029876,             0.93368,             0.78324,              0.8549,             0.38014,            0.033572,            0.013317,           0.0034141,             0.00703,             0.00703,             0.00703
                  17,            0.032553,           0.0089909,            0.002573,             0.91369,             0.81498,             0.87359,             0.39323,            0.032717,            0.012864,           0.0027414,            0.006832,            0.006832,            0.006832
                  18,            0.032129,           0.0087591,           0.0027417,             0.92672,             0.78502,             0.86015,             0.38091,            0.033416,            0.013406,           0.0031873,            0.006634,            0.006634,            0.006634
                  19,            0.031906,           0.0089562,           0.0026218,             0.92946,             0.82194,             0.88231,              0.4084,            0.032082,            0.012729,            0.003015,            0.006436,            0.006436,            0.006436
                  20,            0.031441,           0.0089381,           0.0026617,             0.90879,             0.83303,             0.87493,             0.39503,             0.03287,            0.013029,           0.0027749,            0.006238,            0.006238,            0.006238
                  21,            0.031014,           0.0086241,           0.0024341,             0.93013,             0.79878,             0.87822,             0.40173,              0.0327,            0.012635,            0.002907,             0.00604,             0.00604,             0.00604
                  22,            0.030626,           0.0086388,             0.00238,             0.90162,             0.82378,             0.87096,             0.40712,            0.032737,            0.012744,            0.002556,            0.005842,            0.005842,            0.005842
                  23,            0.030508,           0.0086273,           0.0023753,             0.92582,             0.83683,             0.89118,             0.42973,            0.032471,            0.012405,           0.0023279,            0.005644,            0.005644,            0.005644
                  24,            0.030007,           0.0086521,           0.0023542,             0.94751,             0.85453,             0.90597,              0.4177,            0.031568,            0.012248,           0.0022872,            0.005446,            0.005446,            0.005446
                  25,            0.029688,            0.008539,           0.0022487,             0.93797,             0.85593,             0.90637,             0.43092,            0.030352,            0.012045,           0.0019604,            0.005248,            0.005248,            0.005248
                  26,            0.029389,           0.0085098,           0.0022373,             0.94068,             0.84149,             0.90434,             0.41762,            0.030907,            0.011978,           0.0021625,             0.00505,             0.00505,             0.00505
                  27,            0.029178,           0.0082312,           0.0021287,             0.91969,             0.85227,             0.89449,             0.42012,            0.031129,            0.012303,           0.0022492,            0.004852,            0.004852,            0.004852
                  28,            0.028645,           0.0083012,           0.0019782,             0.93618,             0.88949,             0.91406,             0.43245,            0.029956,            0.011854,           0.0019855,            0.004654,            0.004654,            0.004654
                  29,            0.028349,           0.0081294,            0.001965,             0.94451,             0.86069,             0.91222,              0.4506,            0.029783,             0.01174,           0.0021296,            0.004456,            0.004456,            0.004456
